                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.89013,                 1.7164,                0.91023,                 1.0512,                0.85164,                0.84213,                0.89853,                0.72116,                0.82489,                0.81436,                0.81264,                0.60305,                0.75255,                 2.2844,                0.81677,                0.92545,              0.0088615,              0.0088615,              0.0088615
                     25,                0.75386,                 1.3456,                0.93595,                 1.0272,                0.89878,                0.82281,                0.91705,                0.72023,                0.86438,                 0.8018,                0.84517,                0.59018,                0.76577,                 2.3941,                 1.0265,                0.94194,               0.008812,               0.008812,               0.008812
                     26,                0.79871,                 1.4459,                0.86263,                 1.0357,                0.89633,                0.78993,                0.88043,                0.72821,                0.82397,                 0.7621,                0.79183,                0.58667,                0.80728,                 2.4543,                0.99213,                0.96161,              0.0087625,              0.0087625,              0.0087625
                     27,                0.77299,                 1.5465,                0.82037,                 1.0145,                0.82386,                0.86891,                0.91059,                0.73274,                0.79078,                 0.8407,                0.85978,                0.60731,                0.73275,                  1.982,                0.78272,                0.94219,               0.008713,               0.008713,               0.008713
                     28,                 0.6884,                 1.3142,                 0.7467,                  0.967,                0.83736,                0.77212,                0.89299,                 0.7203,                0.84121,                0.75859,                0.84301,                0.60599,                0.77325,                 1.9482,                0.95022,                0.94958,              0.0086635,              0.0086635,              0.0086635
                     29,                0.79119,                 1.5007,                0.82474,                 1.0218,                0.80037,                0.89236,                0.90263,                0.71178,                0.83948,                0.79427,                 0.8397,                0.61713,                 0.7505,                 1.8818,                0.86738,                0.95467,               0.008614,               0.008614,               0.008614
                     30,                0.75495,                 1.3623,                0.75695,                 0.9846,                0.84391,                 0.7354,                0.82951,                0.69374,                0.85023,                0.71162,                0.81079,                0.60085,                0.76647,                 1.7371,                0.89567,                0.95117,              0.0085645,              0.0085645,              0.0085645
                     31,                0.76005,                 1.3171,                0.77867,                 1.0116,                0.81545,                0.81997,                0.90097,                0.74057,                0.84597,                0.75605,                0.87021,                0.63039,                0.79284,                 1.8667,                0.79925,                0.96643,               0.008515,               0.008515,               0.008515
                     32,                0.83263,                 1.4677,                0.83096,                  1.034,                0.88457,                0.76957,                0.82303,                0.68108,                0.88457,                0.76957,                0.81772,                0.58504,                0.73337,                 2.0635,                0.71895,                0.94387,              0.0084655,              0.0084655,              0.0084655
                     33,                0.72592,                 1.3382,                0.80924,                0.99895,                0.91343,                0.78742,                0.80735,                0.65365,                0.91343,                0.78742,                0.80465,                0.55983,                0.75489,                 2.2655,                0.85863,                0.95612,               0.008416,               0.008416,               0.008416
                     34,                0.79201,                 1.2822,                0.76881,                 1.0029,                0.85355,                0.81299,                 0.8255,                0.66535,                0.84422,                0.80863,                0.80632,                0.58159,                0.77304,                 2.2927,                0.72237,                 0.9405,              0.0083665,              0.0083665,              0.0083665
                     35,                 0.7538,                 1.3698,                0.73232,                 1.0144,                0.82567,                 0.8346,                0.85316,                0.71235,                0.82361,                0.83936,                0.85789,                0.58261,                0.77441,                 2.3288,                0.67714,                0.95036,               0.008317,               0.008317,               0.008317
                     36,                0.74593,                 1.2842,                0.70318,                0.99994,                0.77231,                0.79055,                0.83377,                0.67396,                0.77593,                0.79502,                0.83645,                0.57614,                0.80618,                 1.9504,                0.67828,                0.96558,              0.0082675,              0.0082675,              0.0082675
                     37,                0.77464,                 1.3213,                 0.7072,                 1.0024,                0.77405,                0.91301,                0.88066,                0.74558,                0.78547,                0.84597,                0.86227,                0.60465,                0.69414,                 2.1025,                0.60872,                0.93995,               0.008218,               0.008218,               0.008218
                     38,                0.71856,                 1.3058,                0.67809,                0.98753,                0.84826,                0.86013,                0.89408,                0.72224,                 0.7887,                0.80486,                0.81132,                0.57961,                0.68756,                  2.019,                0.66047,                 0.9385,              0.0081685,              0.0081685,              0.0081685
                     39,                0.71859,                 1.3942,                0.72648,                 1.0161,                0.79365,                0.90481,                0.89789,                0.74264,                0.94741,                0.80331,                0.85503,                0.61487,                0.69647,                 1.7473,                0.62597,                0.93173,               0.008119,               0.008119,               0.008119
                     40,                0.68809,                 1.2248,                0.64549,                0.97084,                0.90516,                0.85036,                0.91602,                0.69969,                  0.893,                0.83844,                0.88125,                0.59646,                0.84023,                 1.8441,                0.69147,                0.98885,              0.0080695,              0.0080695,              0.0080695
                     41,                0.75312,                 1.2615,                0.73011,                 1.0178,                0.85146,                0.90508,                0.93825,                0.74735,                 0.8437,                0.89407,                 0.8977,                0.63339,                0.70254,                 1.7741,                0.61805,                0.93106,                0.00802,                0.00802,                0.00802
                     42,                0.74005,                  1.219,                0.70839,                 0.9986,                0.87831,                0.91155,                0.93189,                0.74977,                0.85593,                0.88127,                0.86647,                0.63776,                0.74352,                 1.9198,                0.63508,                0.93678,              0.0079705,              0.0079705,              0.0079705
                     43,                0.69112,                 1.2901,                0.63815,                0.97284,                0.77367,                0.81571,                0.84832,                0.70128,                0.74537,                0.79043,                 0.7898,                0.55502,                0.75833,                 2.1738,                0.95334,                0.97254,               0.007921,               0.007921,               0.007921
                     44,                0.71694,                 1.3312,                0.68632,                  1.001,                0.80609,                0.84902,                 0.8955,                0.74113,                0.90011,                0.74019,                0.83423,                 0.5823,                0.72747,                 1.9583,                 0.6684,                0.94451,              0.0078715,              0.0078715,              0.0078715
                     45,                 0.7311,                 1.3517,                 0.6726,                 1.0117,                0.95196,                0.80993,                0.88496,                0.73008,                0.92143,                0.78215,                0.83402,                0.60104,                0.76971,                   2.19,                0.62019,                 0.9333,               0.007822,               0.007822,               0.007822
                     46,                0.77849,                  1.266,                0.68321,                 1.0237,                0.86609,                0.85394,                0.91976,                0.78414,                0.83597,                0.82812,                0.88015,                0.65361,                0.71008,                 1.9252,                0.65232,                0.90661,              0.0077725,              0.0077725,              0.0077725
                     47,                0.72518,                 1.3151,                0.63779,                 1.0045,                0.88954,                0.87779,                0.92031,                0.77083,                0.87425,                0.81539,                0.84209,                0.60419,                0.68259,                 1.9694,                0.61139,                0.92084,               0.007723,               0.007723,               0.007723
                     48,                0.71914,                 1.2473,                0.64518,                0.98734,                 0.8795,                 0.8911,                0.93835,                 0.7864,                0.86987,                0.87287,                0.88855,                0.66254,                0.74678,                 1.6585,                0.60005,                0.91749,              0.0076735,              0.0076735,              0.0076735
                     49,                0.72886,                 1.3437,                0.66432,                0.99899,                0.83691,                 0.8662,                0.91643,                0.77602,                0.87606,                0.86464,                0.87258,                0.62012,                0.70135,                 1.9369,                0.68249,                0.90844,               0.007624,               0.007624,               0.007624
                     50,                 0.7189,                 1.2646,                0.64479,                0.98092,                0.72228,                0.85003,                0.84459,                0.73282,                 0.7102,                0.83275,                0.82396,                0.61786,                0.67298,                 1.8027,                0.67103,                0.89557,              0.0075745,              0.0075745,              0.0075745
                     51,                0.69244,                 1.2503,                0.59973,                0.98312,                0.82381,                0.85861,                 0.8873,                0.76453,                0.83492,                0.84401,                0.86546,                0.66083,                0.68705,                 1.8051,                0.61535,                0.89134,               0.007525,               0.007525,               0.007525
                     52,                0.71828,                 1.2609,                0.65171,                 1.0112,                0.93069,                0.90491,                 0.9209,                0.76234,                0.87715,                0.87161,                0.88638,                0.66776,                0.70469,                 1.7384,                0.58488,                0.90539,              0.0074755,              0.0074755,              0.0074755
                     53,                0.72689,                 1.1607,                0.61277,                0.99491,                0.83161,                0.91175,                0.92185,                0.79013,                0.89368,                0.88093,                0.88619,                0.67709,                0.67778,                  1.781,                0.56575,                0.88769,               0.007426,               0.007426,               0.007426
                     54,                0.69868,                  1.183,                0.61453,                0.99022,                0.84856,                0.93804,                0.92234,                0.79753,                0.86822,                0.89613,                0.87729,                0.68187,                0.64367,                 1.8055,                 0.6239,                0.87558,              0.0073765,              0.0073765,              0.0073765
                     55,                0.67423,                  1.068,                0.61427,                 0.9754,                0.86462,                0.91609,                0.94589,                0.78385,                0.90304,                0.88798,                0.88994,                0.68836,                0.68747,                 1.8544,                0.62629,                0.90974,               0.007327,               0.007327,               0.007327
                     56,                0.70594,                 1.1598,                0.62157,                0.97779,                0.84818,                0.92797,                0.91166,                0.77729,                0.83712,                0.84874,                0.85317,                0.66086,                0.73581,                 1.7165,                0.73833,                0.91532,              0.0072775,              0.0072775,              0.0072775
                     57,                0.73929,                 1.1162,                0.64781,                0.98748,                0.85966,                0.90715,                0.91912,                0.76131,                0.80212,                0.88838,                  0.874,                0.65393,                0.72038,                  1.752,                0.63762,                0.91988,               0.007228,               0.007228,               0.007228
                     58,                0.70825,                 1.1183,                0.63552,                 0.9972,                0.84241,                0.94895,                0.93109,                0.77112,                0.80554,                0.87256,                0.87627,                0.66242,                0.67583,                 2.1698,                0.59885,                0.91219,              0.0071785,              0.0071785,              0.0071785
                     59,                0.68937,                 1.1154,                0.66199,                0.98952,                0.78105,                 0.9084,                0.89909,                0.76139,                0.77622,                0.86389,                0.86471,                0.64448,                0.66561,                 2.1476,                0.63372,                0.91361,               0.007129,               0.007129,               0.007129
                     60,                0.70385,                 1.2131,                0.60796,                 1.0043,                0.87407,                0.83848,                0.89067,                0.76883,                0.85067,                 0.8091,                0.85305,                0.65155,                0.67794,                 2.1797,                 0.6066,                0.90631,              0.0070795,              0.0070795,              0.0070795
                     61,                0.69994,                 1.1619,                0.57359,                 0.9785,                0.87463,                0.88016,                0.92665,                0.78383,                0.89296,                 0.7897,                 0.8647,                 0.6523,                 0.6846,                 1.7539,                0.56225,                 0.9037,                0.00703,                0.00703,                0.00703
                     62,                0.69353,                 1.2731,                0.60005,                 1.0039,                0.88386,                0.88009,                0.93772,                0.79627,                 0.8444,                0.81797,                0.87283,                0.65017,                0.64128,                 1.8109,                0.56309,                0.88974,              0.0069805,              0.0069805,              0.0069805
                     63,                0.68197,                 1.1843,                0.56458,                0.97447,                0.86009,                0.81783,                0.85718,                0.67732,                0.80014,                0.77168,                 0.8007,                0.54962,                0.69699,                 2.0016,                0.63348,                0.91926,               0.006931,               0.006931,               0.006931
                     64,                0.71223,                 1.2464,                0.65139,                 1.0031,                0.90216,                0.87917,                0.89206,                0.71277,                0.85379,                0.81739,                 0.8337,                0.59221,                0.69301,                 1.8696,                0.60439,                0.91602,              0.0068815,              0.0068815,              0.0068815
                     65,                0.70179,                 1.1749,                0.56316,                0.98349,                0.84186,                0.95169,                0.91143,                0.71834,                0.83681,                0.85065,                0.85045,                0.60016,                0.70441,                 1.7896,                0.56403,                0.91653,               0.006832,               0.006832,               0.006832
                     66,                0.66591,                 1.3126,                0.57551,                0.96942,                0.78667,                 0.9393,                0.90295,                0.70025,                0.84255,                0.83433,                0.84615,                 0.5752,                0.69092,                 1.8157,                0.59445,                0.92233,              0.0067825,              0.0067825,              0.0067825
                     67,                0.66319,                 1.0864,                0.56435,                0.97093,                0.83848,                0.91519,                0.90901,                0.68969,                0.79729,                0.85492,                0.86068,                0.57641,                0.73783,                 1.9043,                0.70035,                0.93894,               0.006733,               0.006733,               0.006733
                     68,                0.69745,                 1.1725,                0.58008,                0.98308,                 0.8671,                0.80464,                0.88069,                 0.6993,                0.86771,                0.81505,                 0.8515,                0.61237,                0.69149,                 1.7032,                0.66658,                 0.9092,              0.0066835,              0.0066835,              0.0066835
                     69,                0.73326,                 1.1471,                0.63096,                0.98372,                0.81232,                0.91898,                0.88112,                 0.7343,                 0.7854,                0.85188,                 0.8338,                0.63569,                0.67923,                 1.6379,                0.57068,                 0.9045,               0.006634,               0.006634,               0.006634
                     70,                0.69385,                 1.1066,                0.58233,                0.98938,                0.79676,                0.87356,                0.84429,                0.69884,                0.77651,                0.82737,                0.80883,                0.60399,                0.68585,                  1.591,                 0.6486,                0.91808,              0.0065845,              0.0065845,              0.0065845
